ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,-2.92671155424,-inf,-1.68444732649,-1.48829996092,-0.625256773286
2,-0.508312544684,-inf,-inf,-1.32974718226,-2.01031763453
3,-1.24665278831,-inf,-2.78756894044,-1.6625157836,-0.773700928202
4,-inf,-2.20727491319,-6.90775527898,-1.51412773263,-0.401971218854
5,-0.917048003892,-inf,-3.86497143381,-0.981668117585,-1.5864359224
6,0.0,-inf,-inf,-inf,-inf
7,-1.162917144,-4.87131890033,-4.81903052611,-inf,-0.397959682593
8,-0.843970070295,-inf,-inf,-inf,-0.562118918154
9,-0.137870953644,-inf,-inf,-3.0671089364,-2.49819454411
10,-0.537832628404,-inf,-3.91965604889,-1.45807595648,-1.81121212294
11,-0.51522918068,-4.68657149509,-4.05840830756,-1.62244922205,-1.72189578789
12,-inf,-inf,-4.89842330349,-1.08159715627,-0.425430963011
13,-0.929144298035,-inf,-3.57713617913,-1.03380436212,-1.50732580907
14,-0.917048003892,-inf,-3.86497143381,-0.981668117585,-1.5864359224
15,-0.461758610893,-inf,-4.19348043994,-1.51780624401,-1.99849079393
16,-0.00364767030873,-inf,-inf,-inf,-5.61548986751
17,-0.790849465136,-1.51412773263,-inf,-3.61309180263,-1.20539972426
18,-0.544727175442,-3.91202300543,-inf,-1.75896964641,-1.47938478419
19,-1.19591063647,-4.31965527112,-2.81796926738,-1.56684703698,-0.877459953696
20,-inf,-4.49996588952,-2.79810393253,-4.62494271378,-0.0853825923199
21,-0.0893853482106,-inf,-inf,-inf,-2.45915829091
22,-inf,-inf,-3.17424329455,-inf,-0.0427256197238
23,-0.914572409946,-5.66231290457,-2.85172445842,-1.18887831576,-1.45444363226
24,-inf,-inf,-inf,-inf,0.0
25,-0.15092180032,-inf,-inf,-2.64600700892,-2.67146026957
26,-0.100489447488,-inf,-inf,-inf,-2.34752656088
27,-0.294035993254,-inf,-inf,-inf,-1.36747129971
28,-inf,-inf,-0.944465462138,-0.981428537146,-1.44249536776
29,-0.149043672838,-inf,-inf,-3.36989123008,-2.26264220469
30,-2.48563895656,-inf,-2.51413731057,-0.395735230064,-1.81640023546
31,-0.905622426666,-inf,-2.69475806693,-1.13324354545,-1.57908365513
32,-0.516861267742,-inf,-inf,-1.61155298306,-1.58947330449
33,-0.0859159755603,-inf,-inf,-4.8554381218,-2.59638257617
34,-0.988110605985,-inf,-2.49378532514,-1.75654506927,-0.9875623307
35,-inf,-inf,-1.7470365219,-inf,-0.191511272226
36,-1.22510650883,-inf,-2.37786740168,-0.888481849501,-1.59827168242
37,-0.660444829245,-inf,-3.32387620277,-1.52401886038,-1.47171770781
38,-0.149043672838,-inf,-inf,-3.36989123008,-2.26264220469
39,-0.307075681726,-inf,-inf,-2.00225667856,-2.04504125163
40,-0.760004913425,-5.52146091786,-4.19970507788,-inf,-0.666824929082
41,-inf,-inf,-1.14331083493,-1.46874472678,-0.796235148137
42,-1.34778879117,-3.35492280561,-2.19901324858,-inf,-0.520267965698
43,-0.0947884464845,-inf,-inf,-inf,-2.40312763221
44,-inf,-inf,-2.00248050054,-5.29831736655,-0.150822889735
45,-4.81027683519,-inf,-1.40560663247,-5.75884225184,-0.296411557469
46,-2.07950658986,-inf,-0.989380604333,-0.971340833245,-2.08243703268
47,-0.218659571774,-inf,-inf,-inf,-1.6275776374
48,-0.616186139424,-7.93737469616,-7.2442275156,-inf,-0.778860698834
49,-0.376084588765,-inf,-inf,-2.54849947171,-1.44707748649
50,-inf,-inf,-1.43188138576,-0.427049531651,-2.21907469892
51,-inf,-inf,-1.35422526145,-inf,-0.298604456572
52,-0.311079175581,-inf,-inf,-2.38557668588,-1.74120944648
53,-1.7375073911,-inf,-inf,-inf,-0.193534325643
54,-inf,-inf,-2.05346853713,-inf,-0.137297510167
55,-inf,-2.55323647583,-1.81500372643,-inf,-0.275314423643
56,-0.891598119284,-inf,-5.29152232342,-inf,-0.536201708507
57,-0.128228641461,-inf,-inf,-3.53108305613,-2.39607660652
58,-inf,-inf,-inf,-inf,0.0
59,-inf,-inf,-3.97974117948,-inf,-0.0188673505182
60,-0.94416842655,-inf,-2.7736351937,-1.12088513063,-1.50250765724
61,-0.57436808688,-5.61244145075,-3.68922165684,-1.508986282,-1.67578169957
62,-0.994445342174,-inf,-7.60090245954,-0.474164655272,-4.93831463252
63,0.0,-inf,-inf,-inf,-inf
64,-inf,-inf,-1.23645158969,-2.97733756383,-0.417549545608
65,-inf,-2.96420252207,-3.92492877698,-inf,-0.0740181344939
66,-1.27865314277,-inf,-2.79912317532,-1.03259377173,-1.18861665238
67,-0.191005606265,-inf,-inf,-inf,-1.74943563332
68,-inf,-inf,-inf,-2.35839489472,-0.0993474076726
69,-0.00654646230757,-inf,-inf,-6.88744225118,-5.20217840941
70,-inf,-3.4857760882,-1.76943689429,-inf,-0.224468064284
71,-1.59343704723,-inf,-3.3109727143,-2.53807309535,-0.383789380957
72,-0.499126101929,-inf,-3.39763941811,-1.60386483517,-1.84282631258
73,-inf,-5.29831736655,-1.31180550913,-2.30091981367,-0.469203949075
74,-0.583197782511,-inf,-4.09065636922,-1.51887181575,-1.57889811854
75,-inf,-inf,-2.07229803526,-6.24455517479,-0.136779093907
76,-inf,-inf,-2.05255838145,-inf,-0.13743152718
77,-0.109673507115,-inf,-inf,-inf,-2.26458306945
78,-0.646027683854,-inf,-inf,-2.74988104854,-0.886875381224
79,-0.15092180032,-inf,-inf,-2.64600700892,-2.67146026957
80,-1.21547604787,-inf,-5.23996017936,-2.45788444227,-0.490182096034
81,-inf,-inf,-2.07208534223,-3.66333670077,-0.164367353798
82,-inf,-inf,-inf,-inf,0.0
83,-0.478035800943,-6.39692965522,-3.96331629982,-2.46454395527,-1.29358496302
84,-inf,-inf,-1.64951921781,-inf,-0.213369306504
85,-inf,-inf,-1.81189014233,-0.178343598586,-inf
86,-inf,-inf,-1.35422526145,-inf,-0.298604456572
87,-1.59343704723,-inf,-3.3109727143,-2.53807309535,-0.383789380957
88,-0.695149183231,-6.80239476332,-inf,-1.46967597006,-1.30974492732
89,-3.08516768019,-3.80434375155,-7.03992705209,-inf,-0.0713589182146
90,-0.0944725849523,-inf,-inf,-3.9506632519,-2.64640887133
91,-inf,-inf,-inf,-inf,0.0
92,-inf,-inf,-0.636524174955,-inf,-0.753169810564
93,-0.883299316469,-inf,-inf,-2.95972183603,-0.62595593102
94,-0.94416842655,-inf,-2.7736351937,-1.12088513063,-1.50250765724
95,-0.110893820494,-inf,-inf,-inf,-2.25411667704
96,-0.675667327174,-inf,-6.13005071039,-0.718304595365,-6.55108033504
97,-0.70796637484,-6.80239476332,-inf,-3.1060427888,-0.773346784228
98,-1.34778879117,-3.35492280561,-2.19901324858,-inf,-0.520267965698
99,-inf,-inf,-2.51863019047,-inf,-0.0840012537126
100,-0.769140340244,-4.3477645998,-2.82185728094,-1.07277512188,-2.10291700207
101,-0.655311458699,-inf,-inf,-1.76506484974,-1.17265499489
102,-0.629933941983,-inf,-inf,-1.45167132889,-1.45588264793
103,-0.583580140131,-3.91202300543,-inf,-3.27016911926,-0.956845668041
104,-0.616186139424,-inf,-inf,-1.27694182419,-1.70864456252
105,-0.890978340595,-inf,-3.15988902297,-1.64088976457,-1.03984961605
106,-0.607807909,-inf,-2.67026505148,-0.951340673009,-inf
107,-0.215724633128,-inf,-inf,-inf,-1.63967655267
108,-inf,-inf,-1.41846462919,-0.726279867864,-1.29386292676
109,-1.16147960499,-5.35199691076,-3.49291061409,-2.9235961791,-0.514020174874
