ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.0466942153871,0.00552523788065,0.0757278427482,0.234175279737,0.63787740469
2,0.728674292564,0.00117660500109,0.00952546298504,0.202877908945,0.0577456578612
3,0.303218334913,0.00604520458728,0.0469906590879,0.192512884736,0.451232939959
4,0.0304687358439,0.0132368719205,0.0174379702657,0.114304408431,0.824551999569
5,0.456386089325,0.00229151383974,0.0407933518291,0.389604896307,0.110924094915
6,0.76931977272,0.00275205005892,0.00773739581928,0.036774802953,0.183415994048
7,0.27974203229,0.159073829651,0.0425419099629,0.00843059550971,0.510211646557
8,0.534685969353,0.166995465755,0.0307391937822,0.00639920635149,0.261180192232
9,0.774889647961,0.00150644488167,0.00691523496062,0.148399397731,0.0682893022895
10,0.567339777946,0.00181075267028,0.0212577134371,0.313607782125,0.0959840044379
11,0.509033024311,0.00200948282145,0.0347949080169,0.370011329651,0.0841513052583
12,0.0480641312897,0.00525177177042,0.119321100414,0.258564680815,0.568798303604
13,0.45389804244,0.00131946813781,0.0606684572995,0.317923158407,0.166190847754
14,0.634661078453,0.00434248475358,0.0427421294153,0.065342463553,0.252911806107
15,0.749970436096,0.00119037658442,0.0107003040612,0.199121460319,0.0390174351633
16,0.87340426445,0.000939146266319,0.00505376234651,0.0896025747061,0.0310002509505
17,0.474163800478,0.00370835815556,0.0218697022647,0.187886834145,0.312371313572
18,0.524714648724,0.00447497749701,0.016057793051,0.167386099696,0.287366509438
19,0.321159183979,0.00473905168474,0.0431663319468,0.17005354166,0.460881948471
20,0.0126627190039,0.01389792189,0.176370278001,0.0186463911086,0.778422653675
21,0.966171264648,0.000912232615519,0.00363084534183,0.00904661975801,0.0202390067279
22,0.00705771287903,0.0148465344682,0.180156752467,0.016087859869,0.781851172447
23,0.529768943787,0.00139908748679,0.0292889326811,0.248951584101,0.190591454506
24,0.0149950077757,0.0196916460991,0.121638268232,0.011867441237,0.831807672977
25,0.911859035492,0.000494768028148,0.00231246254407,0.0373411141336,0.047992605716
26,0.741284430027,0.00587804242969,0.014041069895,0.00841645058244,0.230380013585
27,0.741205632687,0.00191455997992,0.00779487611726,0.0447631068528,0.204321846366
28,0.0113384351134,0.0199006013572,0.536582887173,0.0193712450564,0.412806808949
29,0.913623631001,0.000675184535794,0.00460412399843,0.0481389351189,0.0329580828547
30,0.322617679834,0.00185124925338,0.0415963046253,0.541317045689,0.0926177129149
31,0.304210752249,0.00372897437774,0.0726414471865,0.065876737237,0.553542137146
32,0.64114356041,0.00150509027299,0.00681587634608,0.163883954287,0.18665151298
33,0.769242286682,0.00249475147575,0.0115454420447,0.00667984504253,0.21003767848
34,0.693478167057,0.00479328166693,0.0362852364779,0.209340661764,0.0561026670039
35,0.0744229406118,0.0134583115578,0.098974943161,0.084935516119,0.728208243847
36,0.25481569767,0.0016087165568,0.0583550930023,0.403380721807,0.281839728355
